id,text,category
faq_099,Sample FAQ question 99: How do I handle situation 99?,General Inquiry
faq_100,Sample FAQ question 100: How do I handle situation 100?,Account Management
faq_101,Sample FAQ question 101: How do I handle situation 101?,Technical Support
faq_102,Sample FAQ question 102: How do I handle situation 102?,Billing
faq_103,Sample FAQ question 103: How do I handle situation 103?,Shipping
faq_104,Sample FAQ question 104: How do I handle situation 104?,Billing
faq_105,Sample FAQ question 105: How do I handle situation 105?,Billing
faq_106,Sample FAQ question 106: How do I handle situation 106?,Technical Support
faq_107,Sample FAQ question 107: How do I handle situation 107?,Account Management
faq_108,Sample FAQ question 108: How do I handle situation 108?,Technical Support
faq_109,Sample FAQ question 109: How do I handle situation 109?,Account Management
faq_110,Sample FAQ question 110: How do I handle situation 110?,Billing
faq_111,Sample FAQ question 111: How do I handle situation 111?,Shipping
faq_112,Sample FAQ question 112: How do I handle situation 112?,Technical Support
faq_113,Sample FAQ question 113: How do I handle situation 113?,Shipping
faq_114,Sample FAQ question 114: How do I handle situation 114?,Billing
faq_115,Sample FAQ question 115: How do I handle situation 115?,Technical Support
faq_116,Sample FAQ question 116: How do I handle situation 116?,Shipping
faq_117,Sample FAQ question 117: How do I handle situation 117?,Technical Support
faq_118,Sample FAQ question 118: How do I handle situation 118?,Billing
faq_119,Sample FAQ question 119: How do I handle situation 119?,Account Management
faq_120,Sample FAQ question 120: How do I handle situation 120?,Technical Support
faq_121,Sample FAQ question 121: How do I handle situation 121?,Shipping
faq_122,Sample FAQ question 122: How do I handle situation 122?,Account Management
faq_123,Sample FAQ question 123: How do I handle situation 123?,Billing
faq_124,Sample FAQ question 124: How do I handle situation 124?,General Inquiry
faq_125,Sample FAQ question 125: How do I handle situation 125?,Technical Support
faq_126,Sample FAQ question 126: How do I handle situation 126?,Shipping
faq_127,Sample FAQ question 127: How do I handle situation 127?,Account Management
faq_128,Sample FAQ question 128: How do I handle situation 128?,Account Management
faq_129,Sample FAQ question 129: How do I handle situation 129?,Billing
faq_130,Sample FAQ question 130: How do I handle situation 130?,General Inquiry
faq_131,Sample FAQ question 131: How do I handle situation 131?,Billing
faq_132,Sample FAQ question 132: How do I handle situation 132?,Technical Support
faq_133,Sample FAQ question 133: How do I handle situation 133?,Technical Support
faq_134,Sample FAQ question 134: How do I handle situation 134?,Billing
faq_135,Sample FAQ question 135: How do I handle situation 135?,Account Management
faq_136,Sample FAQ question 136: How do I handle situation 136?,General Inquiry
faq_137,Sample FAQ question 137: How do I handle situation 137?,Shipping
faq_138,Sample FAQ question 138: How do I handle situation 138?,Billing
faq_139,Sample FAQ question 139: How do I handle situation 139?,Billing
faq_140,Sample FAQ question 140: How do I handle situation 140?,Technical Support
faq_141,Sample FAQ question 141: How do I handle situation 141?,Account Management
faq_142,Sample FAQ question 142: How do I handle situation 142?,Shipping
faq_143,Sample FAQ question 143: How do I handle situation 143?,Technical Support
faq_144,Sample FAQ question 144: How do I handle situation 144?,Account Management
faq_145,Sample FAQ question 145: How do I handle situation 145?,Technical Support
faq_146,Sample FAQ question 146: How do I handle situation 146?,Account Management
faq_147,Sample FAQ question 147: How do I handle situation 147?,Shipping
faq_148,Sample FAQ question 148: How do I handle situation 148?,General Inquiry
faq_149,Sample FAQ question 149: How do I handle situation 149?,Account Management
faq_150,Sample FAQ question 150: How do I handle situation 150?,Account Management
